Category,Text
Office,"Paper Plane Design Starry Night Vangoh Wall Art Canvas Painting. Large Size Rolled Canvas Art Print (36"" X 48"") We use only the most modern and efficient printing technology on our canvases, with only the best and original inks and precision Epson< Roland and HP printers. This innovative HD printing technique results in durable and spectacular looking prints of the highest quality that last a lifetime. We print solely with top-notch inks, to achieve brilliant and true colours. Due to their high level of UV Resistance, our Canvas prints retain their beautiful colours for many years. Our canvases contain high levels of white, to ensure that the colours of your original image are reproduced exactly, with brilliant tones. Add colour and style to your living space with this digitally printed canvas painting. Some gifts are for pleasure and some for eternal bliss.So bring home this elegant Canvas print that is lushed with Rich colors that makes it nothing but sheer elegance to be gifted to your friends and family.It would be treasured forever by whoever your lucky recipient is. Liven up your place with these intriguing paintings on canvas that are high definition hd graphic digital prints for home, office or any room. A perfect size of 36 inches x 48 inches suits every size of space and are a great match with every architectural setting. We prove raw canvas prints with special left extra margins for any type of framing required which you can get done as you please. Art comes in a safe delivery tube. prints are made using latest technology and original inks to get a perfect colour and long lasting design."
Office,"Pitaara Box Romantic Venice Canvas Painting 6mm Thick Mdf Frame 21.1 X 14Inch Enclosure Material:MDF Mount Frame                                                                                 |                            Size:21.1inch x 14inch (53.6cms x 35.6cms)   SIZE: 21.1 inch x 14.0 inch (53.6 cms x 35.6 cms)  Enhance the beauty of your room walls with this breathtaking digital printed artwork. Our high-end printing technology captures every detail of the image in our prints on enhanced matte painting canvas, ensuring rich and lively colours. This wall art panel is mounted on MDF and ready to hang on walls. Beautiful interior home d©cor artwork gifts for Living, Dining Room, Outdoor, Gallery, Hotels, Restaurants, Office, Reception, Kitchen Area, Balcony and Bathroom.  Pitaara Box offers an exclusive collection of thousands of artworks, digital paintings, canvas prints, wall posters, and other wall decor products for your home, office, and surroundings. We provide a never-ending range of creative and spectacular art products, which can be used for gifting on every occasion and every season.  TAGS: wall, paintings, canvas, prints, modern, art, abstract, designer, wallart, artwork, home, bedroom, dining, living, drawing, room, digital, printing, bathroom, common, area, kitchen, office, decorative, stretch, stretched, framed, framing, beautiful, classy, royal, special, unique, elegant, stylish, creative, affordable, best, photo, gifts, fabrics, balcony, interior, exterior, outdoor, gallery, hotels, restaurants, colourful, colorful, small, large, extra large, oversized, hangings, giant, slim, durable, waterproof, buy, shop, purchase, decor, online, Places, Vintage, Canvas, romantic, Venice, artwork, painting, style"
Office,"Painting Mantra 'Vintage Car' Art Printing Set (Synthetic Wood, 60 cm x 50 cm x 2 cm, Brown, Set of 4) Size:60 cm x 50 cm x 2 cm   From the house of art street, we bring this exclusive framed poster to satiate the taste of decor freaks and vintage cars lovers. The filling station-vintage car brown framed poster is a high resolution vintage poster which comes covered in a brown frame. Hang the framed posters depicting image of a car from the nostalgic era on your favourite wall and make it look colourful and vibrant. The product is durable and of high quality. Presented to you with love from art street."
Office,"Indianara Motivational Square Synthetic Wood Art Painting (23 cm x 23 cm x 6 cm, Set of 4, Multicolor)"
Office,"Tamatina Fabric Raja Ravi Varma Hamsa Damyanthi Academic Art Decor Canvas Paintings (Multicolour) Size:Large/23x35 inches   We at tamatina-tm are excited to bring you a fine line of canvas paintings. We work very hard, hand picking designs best suited for canvas art ; then fine tuning images ; trials till we achieve what we can impress you with. We just want you to feel awesome, when you admire it hanging on the wall. Br about the canvas ; digital print: b br ; polyester cotton canvas fabric, hand-picked for each design for best output. It is built to absorb machine print ink ; brings a glorious visual once done. Digital printers we use are designed for fine art reproduction ; our inks are only oil based for that gorgeous finish. they are easy to maintain ; clean as the colors are digitally embedded on the canvas. You don't need a glass for saving the painting from dust as the painting can be cleaned with damp cloth once in a while ; no colors would come off. br ; for more info. Display image is digital, print would have a canvas effect."
Office,"SAF Flower Print Framed Painting (Synthetic, 13.5 inch x 22 inch, UV Textured, Set of 3, SANFSW4951) Color:Multicolor                                                                                 |                            Size:35 cm x 50 cm x 2 cm   A beautiful painting involves the action or skill of using paint in the right manner, hence, the end product will be a picture that can speak a thousand words they say. Arts have been in trend for quite some time now. It can give different viewer different meanings style and design the saf wood matte painting with frame is quite abstract and mysteriously beautiful. The painting has a nice frame to it. You can gift this to a family or a friend. The painting has various forms of certain figures on it as seen in the image. You can add a good set of lights to the place where the painting is and the decor will give a different feel and look to the place. Quality and durability the painting has a matte finish and includes a good quality frame and will last for a long period. However, it does not include glass along with the frame."
Office,"Posterhouzz Comics Superhero Thor Joker Black Panther Ultron Daredevil Deadpool Flash STA. Fine Art Paper Print Poster_** ABO397 Creative, digitally printed paper posters for your home or office. Funny, inspiring and lovable designs to choose from. This Poster Is for framing. Spruce up your home with a fantastic of Wall Art from Posterhouzz."
Office,"ART DIOR | Set of 3 Modern Art Prints - Winter Tree Printed on a Single Print | Canvas Wall Art | Unframed Canvas Art Print| 18 inch x 46 inch Enclosure Material:Canvas Art Print                                                                                 |                            Size:18"" x 46"" Art Print Only   Giclée art from Creative team of Art Dior. Printed by dedicated art printer on Epson 9900 on very specialized coated canvas to bring out brush stroke details, brilliance of colors, dimensional stability and lasting colors for archival use. Add soul to your walls, add volumes of euphoric feel once properly framed and displayed on Living, Drawing & Dining Room, Gallery, Hotels, Bar, Lounge, Restaurants, Office, Reception, Kitchen Area, Bathroom. Packed with utmost care for mint fresh condition delivery. Art prints are of very specialized fine ink quality and color gamut to maintain color depth and brilliance, direct sunlight should be avoided. Please confirm size before placing any order. TERMS & CONDITIONS BEFORE PLACING YOUR ORDER: 1. Product colours remains closest to as shown in the product image but may vary slightly when viewed on different monitors or screens. Please check product specifications and size thoroughly before placing your order. 2. If buyer wants to return the product, then return courier charges will be borne by the buyer. 3. Refund process will be Initiated only when the vendor gets custody of the returned product in it's orignal packaging & labels. 4. Refund will only be initated if there is a manufacturing defect or if the product was damaged in transit. No refunds will be initiated if the product returned is physically or chemically tampered with. 5. Framed Art Prints will only be compensated if damaged in transit."
Office,"ART DIOR | Dancing Village Girls | Canvas Wall Art | Unframed Canvas Art Print | 18 inch x 46 inch | Enclosure Material:Canvas Art Print                                                                                 |                            Size:18"" x 46"" Art Print Only   Giclée art from Creative team of Art Dior. Printed by dedicated art printer on Epson 9900 on very specialized coated canvas to bring out brush stroke details, brilliance of colors, dimensional stability and lasting colors for archival use. Add soul to your walls, add volumes of euphoric feel once properly framed and displayed on Living, Drawing & Dining Room, Gallery, Hotels, Bar, Lounge, Restaurants, Office, Reception, Kitchen Area, Bathroom. Packed with utmost care for mint fresh condition delivery. Art prints are of very specialized fine ink quality and color gamut to maintain color depth and brilliance, direct sunlight should be avoided. Please confirm size before placing any order. TERMS & CONDITIONS BEFORE PLACING YOUR ORDER: 1. Product colours remains closest to as shown in the product image but may vary slightly when viewed on different monitors or screens. Please check product specifications and size thoroughly before placing your order. 2. If buyer wants to return the product, then return courier charges will be borne by the buyer. 3. Refund process will be Initiated only when the vendor gets custody of the returned product in it's orignal packaging & labels. 4. Refund will only be initated if there is a manufacturing defect or if the product was damaged in transit. No refunds will be initiated if the product returned is physically or chemically tampered with. 5. Framed Art Prints will only be compensated if damaged in transit."
Office,"SAF 'UV Textured Modern Art Print Framed' Painting (Synthetic, 35 cm x 50 cm x 3 cm, Set of 3) Color:Multicolor                                                                                 |                            Size:35 cm x 50 cm x 3 cm   Overview a beautiful painting involves the action or skill of using paint in the right manner; hence, the end product will be a picture that can speak a thousand words they say. Arts have been in trend for quite some time now. It can give different viewer different meanings style and design the SAF wood matte abstract painting with frame is quite abstract and mysteriously beautiful. The painting has a nice frame to it. You can gift this to a family or a friend. The painting has various forms of certain figures on it as seen in the image. You can add a good set of lights to the place where the painting is and the decor will give a different feel and look to the place. Quality and durability the painting has a matte finish and includes a good quality frame and will last for a long period. However, it does not include glass along with the frame. Specifications you can purchase SAF wood matte abstract painting with frame on amazon.in. It is the most customer-friendly platform with a wide range of products to choose from, and shopping is just a click away!"
Office,"SAF 'Floral' Framed Painting (Wood, 30 inch x 10 inch, Special Effect UV Print Textured, SAO297) Painting made up in synthetic frame with UV textured print which gives multi effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch (A perfect gift for your special ones)."
Office,"Incredible Gifts India Wooden Happy Birthday Unique Personalized Gift (5 X 4 Inch) Size:4 x 5   Made Of Natural Imported Wood, Which Is Quite Solid With Light Particle Pattern & Is Soft Pale To Blond Colour. Your Uploaded Photo Will Look Amazing And Beautiful After Laser Engraving On It. This Is One Of The Most Popular Unique Gifts In Our Store. We Offer This In Multiple Sizes, Some Can Be Used As Table Top And The Big Sizes Can Be Used As Wall Hanging Which Just Blends With Your Home Decaration. You Just Need To Upload A Picture And Add Your Own Text And We Will Do The Rest For You. We Will Email You The Preview Before Making The Final Product. Do You Want The Best Moment Of Your Life To Be Engraved On A Wooden Plaque That Lasts For A Longer Time And Stays Close To You Forever? Then You Are At The Right Place. We Present To You Various Sizes Personalized Engraved Wooden Plaques Made With Birch Wood. Let Your Memories Be Engraved On Wooden Plaques And Stay With Your Forever."
Office,"Posterhouzz Comics Superhero Thor Joker Black Panther Ultron Daredevil Deadpool Flash STA. Fine Art Paper Print Poster_** ABO397 Creative, digitally printed paper posters for your home or office. Funny, inspiring and lovable designs to choose from. This Poster Is for framing. Spruce up your home with a fantastic of Wall Art from Posterhouzz."
Office,"Indianara Motivational Square Synthetic Wood Art Painting (23 cm x 23 cm x 6 cm, Set of 4, Multicolor)"
Office,"Painting Mantra Synthetic Wood Art Street Tropical Framed Canvas Art Print (11 X 13 inch, Green) Color:color - green|| theme - tropical green   Make a blank space pop with rad art prints. Better yet, start a gallery wall and mix art prints, posters, canvas prints and framed prints of all sizes to elevate your space with the design. This art print is printed on gallery canvas natural white color, matte, and ultra smooth texture. Box frame used which highlight the print even more."
Office,"ART DIOR | 8 Running Horses | Canvas Wall Art | Unframed Canvas Art Print | 18 inch x 46 inch | Enclosure Material:Canvas Art Print                                                                                 |                            Size:18"" x 46"" Art Print Only   Giclée art from Creative team of Art Dior. Printed by dedicated art printer on Epson 9900 on very specialized coated canvas to bring out brush stroke details, brilliance of colors, dimensional stability and lasting colors for archival use. Add soul to your walls, add volumes of euphoric feel once properly framed and displayed on Living, Drawing & Dining Room, Gallery, Hotels, Bar, Lounge, Restaurants, Office, Reception, Kitchen Area, Bathroom. Packed with utmost care for mint fresh condition delivery. Art prints are of very specialized fine ink quality and color gamut to maintain color depth and brilliance, direct sunlight should be avoided. Please confirm size before placing any order. TERMS & CONDITIONS BEFORE PLACING YOUR ORDER: 1. Product colours remains closest to as shown in the product image but may vary slightly when viewed on different monitors or screens. Please check product specifications and size thoroughly before placing your order. 2. If buyer wants to return the product, then return courier charges will be borne by the buyer. 3. Refund process will be Initiated only when the vendor gets custody of the returned product in it's orignal packaging & labels. 4. Refund will only be initated if there is a manufacturing defect or if the product was damaged in transit. No refunds will be initiated if the product returned is physically or chemically tampered with. 5. Framed Art Prints will only be compensated if damaged in transit."
Office,"Painting Mantra Synthetic Wood Art Street Tropical Framed Canvas Art Print (11 X 13 inch, Green) Color:color - green|| theme - tropical green   Make a blank space pop with rad art prints. Better yet, start a gallery wall and mix art prints, posters, canvas prints and framed prints of all sizes to elevate your space with the design. This art print is printed on gallery canvas natural white color, matte, and ultra smooth texture. Box frame used which highlight the print even more."
Office,"Streetkart Women's & Girl's Traditional Kutchi Art Work Sling Bag/Fashionable Sling Bag for Women/Stylish Polyester Sling Bag for Casual & Formal Wear Give you new look by carry this Hand-crafted embroidered Sling Bag from the house of Streetkart .This handbag are specially design by Artisans from kutchh .This is one of the most stylish and popular design of Sling Bag, suitable for both young girls and women. Stylish Sling perfect for parties and clubbing, or for casual daily use.This Bag Is Great Choice To Keep For All Girls And Women, It Makes A Fashion Statement And Provide A Fancy Space To Keep All Your Daily Essential.FEATURES :- The styling and warm colour reflects the latest season's trends.The Straps Facilitate An Effortless Portability.♥ This Sling bag Will Go Well With Formals And Casuals As Well. It brings you more casual or party feel and happy to carry it all the time.It comes with Stylish Solid Pattern A fashion bag full of personality, convenient for you to hold cash, coin, keys, Cellphone, cards .Perfect for all ages. Care Instructions: Do not expose to extreme heat and wipe with damp cloth ."
Office,"SAF 'Buddha Religious' Painting (Synthetic, 13.5 inch x 22 inch, SA30) Color:multicolour                                                                                 |                            Size:35 cm x 3 cm x 50 cm   It is a textured effect canvas print with UV which gives a multi-effect. It is in a Italian designed frame in a synthetic material."
Office,"SAF Framed Painting (Wood, 15 inch x 18 inch, Set of 3) Painting made up in synthetic frame with UV textured print which gives multi-effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. A perfect gift for your special ones."
Office,Paintings Villa UV Textured Modern Art Print Framed Painting Home Decoration - Size 35 X 2 X 50 cm Paintings Villa UV Textured Modern Art Print Framed Painting Home Decoration - Size 35 X 2 X 50 cm Decorate your home and office walls with these artistic design satin matt texture framed UV art print from MAV. Each design reflects the artistic qualities and time one has taken to design this poster. Exquisitely printed and framed it is also a perfect gifting option for your colleagues loved ones and family members. These frames don't include glass so it is very light weight and wet cloth can be used to clean it.
Office,"SAF Premium Butterfly Diamond Cut 4 Panel Ink Painting (Synthetic, 57 cm x 101 cm x 2 cm, Set of 4) Overview a beautiful painting involves the action or skill of using paint in the right manner. Hence, the end product will be a picture that can speak a thousand words they say. Arts have been in trend for quite some time now. It can give different viewer different meanings style and design the SAF wood matte abstract painting with frame is quite abstract and mysteriously beautiful. The painting has a nice frame to it. You can gift this to a family or a friend. The painting has various forms of certain figures on it as seen in the image. You can add a good set of lights to the place where the painting is, and the decor will give a different feel and look to the place. Quality and durability the painting has a matte finish and includes a good quality frame, and will last for a long period. However, it does not include glass along with the frame. Specifications You can purchase SAF wood matte abstract painting with frame on amazon.in. It is the most customer friendly platform with a wide range of products to choose from, and shopping is just a click away."
Office,"Art Street Shooting Star Set of 16 Individual Photo Frame- Multiple Size (3 Units of 8x10, 4 Units of 6x8, 4 Units of 5x7, 3 Units of 4x6, 2 Units of 6x10) live your golden memories by decorating your place with photographs. Bright colours and specially handcrafted artistic make, give these pieces a vibrant and modish touch to the plain walls of your living space. Give a personalized touch to your gifts by picking one of these pieces."
Office,"Indianara Square Synthetic Wood Framed Wall Hanging Art Painting (22.49 cm x 22.49 cm x 3.5 cm, Set of 4) Adorn the walls of your living space with this exquisitely made, aesthetically pleasing, and visually stimulating 4 piece set of framed wall hanging art print. The frames are made of brown synthetic wood and will breathe a fresh life in the walls of your room. It will also make a thoughtful and unique gift for your loved ones on special occasions such as birthdays::wedding anniversary::house warming ceremony and festivals."
Office,"SAF 'Ganesha' Framed Painting (Wood, 12 inch x 12 inch)"
Office,"SAF 'Flower Floral' Painting (Synthetic, 13.5 inch x 22 inch) Color:Multicolour                                                                                 |                            Size:35 cm x 3 cm x 38 cm   It is a textured effect canvas print with UV which gives a multi-effect. It is in a Italian designed frame in a synthetic material."
Office,"SAF 'Ganesha' Painting (Wood, 12 inch x 12 inch, Special Effect Textured, SAO97) Painting made up in synthetic frame with UV textured print which gives multi-effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. A perfect gift for your special ones."
Office,"SAF 'Radha Krishna' Wall Painting (Synthetic, 30 cm x 30 cm x 2 cm) Overview a beautiful painting involves the action or skill of using paint in the right manner; hence, the end product will be a picture that can speak a thousand words they say. Arts have been in trend for quite some time now. It can give different viewer different meanings style and design the saf wood matte abstract painting with frame is quite abstract and mysteriously beautiful. The painting has a nice frame to it. You can gift this to a family or a friend. The painting has various forms of certain figures on it as seen in the image. You can add a good set of lights to the place where the painting is and the decor will give a different feel and look to the place. Quality and durability the painting has a matte finish and includes a frame and will last for a long period. However, it does not include glass along with the frame."
Office,"SAF 'Ganesh' Framed Painting (Synthetic, 13.5 inch x 22 inch, Modern Art Wood, Set of 3, SANFSAS7500) Special series of high definition prints is designed in a very extraordinary way by using a quality of eye popping colors which puts a very attracting reflection towards it. Also it is framed in Black Synthetic Frame in a Italian Design. A perfect choice for your Home & for your specials."
Office,"Sehaz Artworks 'Our Memories' Pasted Wood Photo Album (22 cm x 16 cm x 4 cm, Brown) Color:OurMemo   Paper material, inside pages high quality black card. Square Size: 26cm x 16cm. Inside pages number 30 pages. (Each page can be double-sided use). Capacity: Totally depends on your photo size, 5 inch, 6 inch 2 per surface, 7 inch 1 per surface, 8 inch 1 per surface, other abnormal size requires that you own album. Use: Love log, travel log, baby growth record, family journal, works in this episode, exclusive course, learning materials and newspapers and magazines in this collection, creative gift. Result Pages: 30 pages. Weight: 0.5 kg."
Office,"Sehaz Artworks Side Shelf Pocket Wooden Key Holder (25 cm x 11 cm x 0.3 cm, Brown) Color:Side-ShelfPocket-Brown-KeyHolder   It is real trouble when you lose your keys. You have to make little space in your house where you can put your keys. So be creative and make that space interesting and stylish by Sehaz Artworks key holder that will awake your imagination. We present you 7 hooks Sehaz Artworks key holder."
Office,Sehaz Artworks Home-Side-Shelf-WT-KeyHolder Wooden Key Holder (7 Hooks) Sehaz Artworks Home Side Shelf with Wooden Key Holder. It has 7 hooks and is in brown colour.
Office,"SAF 'Ganesha' Framed Painting (Wood, 12 inch x 12 inch)"
Office,"Sehaz Artworks 'Colourful Dog' Wall Sticker (Vinyl, 30 cm x 3 cm x 3 cm) The Sehaz Artworks vinyl sticker an affordable and fun way to decorate. Can be applied to your wall, door, mirror, tile, stainless steel, glass, plastic or any smooth or semi smooth, non-porous, clean surface. These are applied like a large sticker and give you the look of stenciling without all the paint mess! These do not have a background of any kind. Just the artwork stuck to your surface and then your surface color will show around the letters or art. These decals can be removed but not reused. You may find some difficulty applying vinyl to porous or chalk like surfaces such as stone, as well as painted surfaces in which a flat paint was used or heavily textured wall or some types of wallpaper. Picture may have been enlarged so you can see it better. Please see measurements for actual size."
Office,"Artworks: Meaning, Definition, Value Review ""Artworks offers a thorough, balanced, and incisive account of the important positions on this issue and makes an interesting and persuasive case for a position that is intuitively attractive."" --Anita Silvers, San Francisco University ""His book makes a valuable contribution to the ongoing debates and one can only admire Stecker's mastery of so many subtle points and arguments."" --Stein Haugom Olsen, Philosophical Review 				    	 					 About the Author Robert Stecker is Professor of Philosophy at Central Michigan University."
Office,"Streetkart Women's & Girl's Traditional Kutchi Art Work Sling Bag/Fashionable Sling Bag for Women/Stylish Polyester Sling Bag for Casual & Formal Wear Give you new look by carry this Hand-crafted embroidered Sling Bag from the house of Streetkart .This handbag are specially design by Artisans from kutchh .This is one of the most stylish and popular design of Sling Bag, suitable for both young girls and women. Stylish Sling perfect for parties and clubbing, or for casual daily use.This Bag Is Great Choice To Keep For All Girls And Women, It Makes A Fashion Statement And Provide A Fancy Space To Keep All Your Daily Essential.FEATURES :- The styling and warm colour reflects the latest season's trends.The Straps Facilitate An Effortless Portability.♥ This Sling bag Will Go Well With Formals And Casuals As Well. It brings you more casual or party feel and happy to carry it all the time.It comes with Stylish Solid Pattern A fashion bag full of personality, convenient for you to hold cash, coin, keys, Cellphone, cards .Perfect for all ages. Care Instructions: Do not expose to extreme heat and wipe with damp cloth ."
Office,"SAF Framed Painting (Wood, 15 inch x 18 inch, Set of 3) Painting made up in synthetic frame with UV textured print which gives multi-effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. A perfect gift for your special ones."
Office,"SAF 'Buddha Religious' Painting (Synthetic, 13.5 inch x 22 inch, SA30) Color:multicolour                                                                                 |                            Size:35 cm x 3 cm x 50 cm   It is a textured effect canvas print with UV which gives a multi-effect. It is in a Italian designed frame in a synthetic material."
Office,"Sehaz Artworks Round Wooden Wall Clock (25.5 cm x 25.5 cm x 2.8 cm, Beige, SZA-PWC-12-Butterflies) This is a classic styled analog wall clock made from wood. This clock will add charm to any room in your home. There is a plastic shell casing behind the clock for batteries. Only one AA battery is required for this clock (not included). This Sehaz Artworks wall clock can be a good gift at housewarmings, weddings and social gatherings. Decorate your home with this wall clock. Perfect for living room and bedroom. More acute and quiet."
Office,InstaNote Weekly Planner Pad - A4 80 Sheets Multicolor Artwork Weekly planner are a great addition to a personal planner letting you keep track of all the things you need to do each week. It has 80 pages with 8 Artworks printed in Color and Pad Binding done.
